Article,Price,Location,Type,Category
Vente appartement à Gauthier,2 500 000 MAD,"Gauthier, Casablanca",Appartement,"3 bedrooms
167 m²"
Appartement à vendre 96m² Bd Allal Fassi MARRAKECH,1 000 000 MAD,"Allal El Fassi, Marrakech",Appartement,"3 bedrooms
1 bathroom
96 m²"
BEL APPT EN VENTE LES PRINCESSES,1 600 000 MAD,"Les Princesses, Casablanca",Appartement,"2 bedrooms
2 bathrooms
106 m²"
Vente Terrain nu de 10000 m2 à Marrakech,1 800 000 MAD,"Route d'Ourika, Marrakech",Terrain,10 000 m²
"Vente Magnifique Studio Duplex 95m2 proche lycée Lyautey, Casablanca",1 350 000 MAD,"Ziraoui, Casablanca",Appartement,"1 bedroom
1 bathroom
95 m²"
VILLA AVENDRE SUR BOULVARD MECQUA,13 500 000 MAD,"Californie, Casablanca",Villa,"5 bedrooms
6 bathrooms
875 m²"
VILLA A VENDRE A OASIS,6 500 000 MAD,"Oasis, Casablanca",Villa,"3 bedrooms
3 bathrooms
440 m²"
Appartement neuf à vendre 3 chambres Ain Sebaa,1 322 500 MAD,"Ain Sebaa, Casablanca",Appartement,"3 bedrooms
3 bathrooms
115 m²"
Appartement neuf à vendre Ain Sebaa,1 035 000 MAD,"Ain Sebaa, Casablanca",Appartement,"2 bedrooms
3 bathrooms
90 m²"
CHARMANT APPARTEMENT À VENDRE,700 000 MAD,"Centre ville, Tanger",Appartement,"2 bedrooms
1 bathroom
68 m²"
Villa moderne à vendre à Moujahidine,6 000 000 MAD,"Moujahidine, Tanger",Villa,"5 bedrooms
3 bathrooms
380 m²"
Terrain 376m² de 3 façades Zoning RDC+3 Villette à vendre,3 950 000 MAD,"La Gironde, Casablanca",Terrain,376 m²
Lot de villa Rte Ourika de 1452 m² Melkia,800 000 MAD,"Route d'Ourika, Marrakech",Terrain,1 452 m²
Terrain a vendre situe a Souissi Rabat,10 150 000 MAD,"Souissi, Rabat",Terrain,2 500 m²
Vente appt Racine Casablanca,3 500 000 MAD,"Racine, Casablanca",Appartement,"3 bedrooms
3 bathrooms
231 m²"
Lot de villa de 2542 m² Rte d'ourika melkia,1 400 000 MAD,"Route d'Ourika, Marrakech",Terrain,2 542 m²
Plateau bureau Avenue Hassan II Diour Jamaa,1 450 000 MAD,"Diour Jamaa, Rabat",Appartement,"4 bedrooms
1 bathroom
100 m²"
Opportunité: Ferme en devenir zone immeuble,12 500 000 MAD,"Ain Atig, Temara",Terrain,11 000 m²
Appartement 93m² à vendre Hay CHaraf Marrakech,840 000 MAD,"Hay Charaf, Marrakech",Appartement,"2 bedrooms
1 bathroom
93 m²"
Bel appartement sans vis à vis très ensoleillé,3 650 000 MAD,"Indéfini, Rabat",Appartement,"5 bedrooms
2 bathrooms
171 m²"
Riad Maison d'hôtes à vendre Guéliz à Marrakech,4 700 000 MAD,"Guéliz, Marrakech",Riad,"4 bathrooms
164 m²"
Magnifique appartement en vente à Plage des Nations,3 200 000 MAD,"Plage des Nations, Rabat",Appartement,"5 bedrooms
2 bathrooms
183 m²"
Vente Villa Isolée Front Golf Bouskoura Ville Verte,12 000 000 MAD,"Bouskoura Golf City, Bouskoura",Villa,"4 bedrooms
4 bathrooms
1 083 m²"
VILLA A VENDRE A CALIFORNIE,12 960 000 MAD,"Californie, Casablanca",Villa,"4 bedrooms
3 bathrooms
1 080 m²"
Appartement 82 m² à vendre à GUELIZ Marrakech,1 000 000 MAD,"Guéliz, Marrakech",Appartement,"2 bedrooms
1 bathroom
82 m²"
Terrain zone BT3s1,10 500 000 MAD,"Ain Diab, Casablanca",Terrain,433 m²
Vente villa californie,14 500 000 MAD,"Californie, Casablanca",Villa,"3 bedrooms
1 000 m²"
Lux studio a vendre,620 000 MAD,"Belvédère, Casablanca",Studio,"1 bathroom
50 m²"
Un appartement moderne avec grande terrasse à Agdal,2 800 000 MAD,"Agdal, Rabat",Appartement,"5 bedrooms
3 bathrooms
150 m²"
Vente Terrain Rabat Haut Agdal REF 3571,5 500 000 MAD,"Quartier Agdal Haut, Rabat",Terrain,278 m²
Vente Terrain Harhoura Val D'or,3 400 000 MAD,"Harhoura, Temara",Terrain,301 m²
Vente terrain El Menzeh REF 3123,20 000 000 MAD,"El Menzeh, Rabat",Terrain,30 520 m²
Vente Terrain Constructible El Menzeh REF 3334,39 000 000 MAD,"Route des Zaers, Rabat",Terrain,30 000 m²
Beau terrain d'angle pour villa isolée à Ain Diab à vendre,27 500 000 MAD,"Anfa Supérieur, Casablanca",Terrain,1 700 m²
Terrain 1330m² pour villa habitation à vendre à Polo,10 600 000 MAD,"Polo, Casablanca",Terrain,1 330 m²
VILLA A VENDRE A CALIFORNIE,15 000 000 MAD,"Californie, Casablanca",Villa,"4 bedrooms
3 bathrooms
1 300 m²"
Oct. 2024 - Terrain d'angle en vente,6 600 000 MAD,"Ain Diab, Casablanca",Terrain,375 m²
Vente Maison de 160 m2 à Marrakech,1 650 000 MAD,"Ancienne Médina, Marrakech",Villa,"7+ bedrooms
2 bathrooms
160 m²"
Très un appartement neuf haut standing avec vue sur mer,3 700 000 MAD,"Indéfini, Rabat",Appartement,"4 bedrooms
2 bathrooms
116 m²"
Vente Terrain Temara Harhoura Petit Val D’or REF 3345,3 000 000 MAD,"Harhoura, Temara",Terrain,250 m²
Terrain pour usage commercial,7 745 000 MAD,"Harhoura, Temara",Terrain,1 549 m²
Superbe Appartement vide,1 300 000 MAD,"Belvédère, Casablanca",Appartement,"3 bedrooms
2 bathrooms
105 m²"
Villa avec piscine à vendre à Boubana,7 000 000 MAD,"Boubana, Tanger",Villa,"4 bedrooms
5 bathrooms
500 m²"
terrain B3s sur quartier oasis,8 860 000 MAD,"Oasis, Casablanca",Terrain,496 m²
MAGNIFIQUE VILLA EN VENTE -CALIFORNIE -,18 000 000 MAD,"Californie, Casablanca",Villa,"5 bedrooms
3 bathrooms
1 143 m²"
"Terrain pour villa, Longchamps.",10 500 000 MAD,"CIL, Casablanca",Terrain,579 m²
Oct. 2024 - Superbe terrain Anfa Supérieur,34 000 000 MAD,"Anfa Supérieur, Casablanca",Terrain,1 705 m²
Bel appartement à vendre très ensoleillé avec 3 façades,1 400 000 MAD,"Indéfini, Rabat",Appartement,"3 bedrooms
2 bathrooms
74 m²"
Etage maison et garçonnière à vendre,330 000 MAD,"Plage, Essaouira",Appartement,"3 bedrooms
2 bathrooms
87 m²"
Terrain pour Villa 1676m² à Polo à vendre,14 000 000 MAD,"Polo, Casablanca",Terrain,1 676 m²
Villa à vendre sur Terrain Divisible,28 000 000 MAD,"Harhoura, Temara",Villa,"5 bedrooms
4 bathrooms
3 200 m²"
Villa à vendre à Bella Vista Malabata,7 700 000 MAD,"Malabata, Tanger",Villa,"5 bedrooms
3 bathrooms
510 m²"
Terrain À Vendre Quartier Sidi Maarouf,24 800 000 MAD,"Sidi Maarouf, Casablanca",Terrain,875 m²
Bel appartement neuf en vente a Hay Riad,4 500 000 MAD,"Hay Riad, Rabat",Appartement,"6 bedrooms
2 bathrooms
220 m²"
Lot de terrain à saisir,1 900 000 MAD,"Bouznika Bay, Bouznika",Terrain,475 m²
Villa à vendre à Boubana Tanger,3 500 000 MAD,"Boubana, Tanger",Villa,"4 bedrooms
3 bathrooms
300 m²"
Terrain 10350 m² à vendre route d ourika Marrakech,1 400 000 MAD,"Route d'Ourika, Marrakech",Terrain,10 350 m²
TERRAIN AVENDRE E2 QUARTIER ANSARI DAR BOUAZA,34 000 000 MAD,"Dar Bouazza, Casablanca",Terrain,17 000 m²
A vendre Terrain 375m² Villa AIN DIAB,5 600 000 MAD,"Ain Diab, Casablanca",Terrain,375 m²
Magnifique terrain en vente R+3,9 240 000 MAD,"Tantonville, Casablanca",Terrain,637 m²
TERRAIN AV R+4 QUARTIER PALMIE,7 854 000 MAD,"Palmier, Casablanca",Terrain,357 m²
A vendre 5800m² BT2S MER DAR BOUAZZA,21 000 000 MAD,"Dar Bouazza, Casablanca",Terrain,5 800 m²
Vente terrain région d'Essaouira,1 610 000 MAD,"Route de Marrakech, Essaouira",Terrain,23 000 m²
A vendre Terrain 508M² COMMERCIAL AIN DIAB,7 700 000 MAD,"Ain Diab, Casablanca",Terrain,508 m²
Villa à vendre à Nouinouich,3 400 000 MAD,"Malabata, Tanger",Villa,"4 bedrooms
4 bathrooms
243 m²"
A vendre Terrain 5000M² Californie,29 500 000 MAD,"Californie, Casablanca",Terrain,5 000 m²
TERRAIN AVENDRE SUR BVD LA CORNICHE,26 500 MAD,"Ain Diab, Casablanca",Terrain,745 m²
A vendre Terrain 510M² R+3 bd Oum Rabii,10 000 000 MAD,"Boulevard Oum Rabir, Casablanca",Terrain,510 m²
TERRINE A VENDRE R+3 OASIS,550 000 000 MAD,"Oasis, Casablanca",Terrain,404 m²
بقعة تجارية للبيع عين عودة الرباط,1 100 000 MAD,"Ain Aouda, Rabat",Terrain,94 m²
Terrain commercial a vende titrée Ain Aouda Rabat,1 100 000 MAD,"Ain Aouda, Rabat",Terrain,94 m²
Oct 2024 - Villa sur linéaire commercial L1,10 500 000 MAD,"Ain Diab, Casablanca",Villa,"3 bedrooms
2 bathrooms
404 m²"
A Vendre Villa commerciale d'angle jumelée 477m² au quartier Ain diab,9 850 000 MAD,"Ain Diab, Casablanca",Villa,"3 bedrooms
3 bathrooms
477 m²"
VILLA AVENDRE QUARTIER LOÑgCHAMPS,7 850 000 MAD,"Longchamps, Casablanca",Villa,"4 bedrooms
6 bathrooms
400 m²"
"Vente villa d'angle 704m2 Belle façade – Quartier Polo, Casablanca",6 900 000 MAD,"Polo, Casablanca",Villa,"4 bedrooms
3 bathrooms
704 m²"
A vendre terrain villa bande 250m² sidi maarouf,2 900 000 MAD,"Sidi Maarouf, Casablanca",Terrain,250 m²
TERRAIN B5 QUARTIER 2 MARS,14 000 000 MAD,"Anfa, Casablanca",Terrain,600 m²
TERRAIN ZONE RESIDENTIELLE A2 VUE MER DAR BOUAZA,50 000 000 MAD,"Dar Bouazza, Casablanca",Terrain,50 000 m²
A vendre TERRAIN 1840m² Anfa SUP BD Roosvelt,28 000 000 MAD,"Anfa Supérieur, Casablanca",Villa,"5 bedrooms
6 bathrooms
1 840 m²"
Villa au coeur du cil à reconstruire,10 300 000 MAD,"CIL, Casablanca",Villa,"4 bedrooms
3 bathrooms
453 m²"
"Vente Villa 1850m2 Anfa, Casablanca",34 000 000 MAD,"Anfa, Casablanca",Villa,"3 bedrooms
3 bathrooms
1 850 m²"
Lot de Terrain à vendre176 m² City Sport Marrakech,800 000 MAD,"Route de Casablanca, Marrakech",Terrain,176 m²
TERRAIN ANGLE R+1VUE MER DAR BOUAZA,2 100 000 MAD,"Dar Bouazza, Casablanca",Terrain,400 m²
TERRAIN POUR VILLAS AU CENTRE HARHOURA,28 000 000 MAD,"Harhoura, Temara",Terrain,3 200 m²
Terrain à vendre au Golf Royal Tanger,9 177 000 MAD,"Vieille montagne, Tanger",Terrain,2 185 m²
Bel appartement avec cour à Hassan,2 250 000 MAD,"Hassan, Rabat",Appartement,"4 bedrooms
2 bathrooms
175 m²"
Vente Terrain nu de 7800 m2 à Marrakech,1 500 000 MAD,"Sidi Abdellah Ghiat, Marrakech",Terrain,7 800 m²
Idéal investisseurs,45 700 000 MAD,"Val Fleuri, Casablanca",Terrain,1 267 m²
Terrain Titré 320m² à Vendre Sidi Abbad Marrakech,5 800 000 MAD,"Sidi Abbad, Marrakech",Terrain,320 m²
Terrain à vendre Ain sebaa,20 500 000 MAD,"Ain Sebaa, Casablanca",Terrain,1 863 m²
Terrain titré 2250 m² Route OURIKA Marrakech,1 200 000 MAD,"Route d'Ourika, Marrakech",Terrain,2 250 m²
Vente terrain Casablanca,14 000 000 MAD,"Krimate, Casablanca",Terrain,1 600 m²
A vendre Terrain 1 ha à Labissa,5 600 000 MAD,"Bouskoura, Casablanca",Terrain,10 000 m²
TERRINE A VENDRE AINDYABE,5 800 000 MAD,"Ain Diab, Casablanca",Terrain,380 m²
Bel appartement a Hay Riad,25 000 MAD,"Hay Riad, Rabat",Appartement,"4 bedrooms
2 bathrooms
100 m²"
Très beau terrain Souissi zone premium,10 800 000 MAD,"Souissi, Rabat",Terrain,2 025 m²
Terrain 2 Hectares 6000 m² Kms 14 Route D'Ourika,14 300 000 MAD,"Route d'Ourika, Marrakech",Terrain,26 000 m²
Vente immeuble à Bélvédere,6 000 000 MAD,"Belvédère, Casablanca",Immeuble,"1 bedroom
221 m²"
A vendre terrain angle villa isolée 900 m² Hermitage,7 800 000 MAD,"Hermitage, Casablanca",Terrain,900 m²
Cette très belle maison authentique et ancienne,1 512 000 MAD,"Taroudant, Taroudant",Maison,"4 bedrooms
2 bathrooms
120 m²"
RIAD DE CHARME TITRE REF BEL118,1 274 400 MAD,"Taroudant, Taroudant",Villa,"1 bedroom
85 m²"
BEAU RIAD TITRE REFERENCE ELMOU143,1 404 000 MAD,"Taroudant, Taroudant",Villa,"1 bedroom
120 m²"
BELLE CHAMBRE D’HÔTES A TAROUDANT REF : DUC349,3 445 200 MAD,"Taroudant, Taroudant",Villa,"1 bedroom
500 m²"
"MAISON DE VILLE NEUVE 3 CHAMBRES, JACUZZI REF :LO209",1 836 000 MAD,"Taroudant, Taroudant",Maison,"3 bedrooms
2 bathrooms
210 m²"
GRANDE ET BELLE MAISON TITREE EN MEDINA DE TAROUDANT,1 398 600 MAD,"Taroudant, Taroudant",Maison,"3 bedrooms
3 bathrooms
280 m²"
MAISON TITREE A TAROUDANT,1 728 000 MAD,"Taroudant, Taroudant",Maison,"1 bedroom
260 m²"
Appartement de 120 m² à Bouznika,2 600 000 MAD,"Eden Island, Bouznika",Appartement,"3 bedrooms
120 m²"
Vente Villa 5 pièces de 250 m2 à Marrakech,3 900 000 MAD,"Targa, Marrakech",Villa,"3 bedrooms
2 bathrooms
250 m²"
Villa d’Exception à Akenza – Marrakech,4 500 000 MAD,"Route de Tahanaoute, Marrakech",Villa,"4 bedrooms
3 bathrooms
400 m²"
Vente Villa 8 pièces de 230 m2 à Marrakech,3 100 000 MAD,"Targa, Marrakech",Villa,"4 bedrooms
4 bathrooms
230 m²"
magnifique villa haut de gamme,5 200 000 MAD,"Tamaris, Casablanca",Villa,"4 bedrooms
3 bathrooms
380 m²"
Vente Villa 5 pièces de 212 m2 à Marrakech,1 900 000 MAD,"Route de Casablanca, Marrakech",Villa,"3 bedrooms
2 bathrooms
212 m²"
Vente Villa 9 pièces de 450 m2 à Marrakech,6 700 000 MAD,"Sidi Abdellah Ghiat, Marrakech",Villa,"5 bedrooms
5 bathrooms
450 m²"
Vente Maison moderne de 225 m² dans lotissement,4 150 000 MAD,"Dar Bouazza, Casablanca",Maison,"3 bedrooms
2 bathrooms
225 m²"
Vente Villa de 500 m2 à Casablanca,5 950 000 MAD,"Hermitage, Casablanca",Villa,"Studio
500 m²"
Appartement de 87 m² à Marrakech,1 567 500 MAD,"indéfini, Marrakech",Appartement,"1 bedroom
1 bathroom
87 m²"
Résidence Haut de Gamme à Marrakech - Menara,2 458 500 MAD,"Menara, Marrakech",Appartement,"3 bedrooms
2 bathrooms
149 m²"
Vente Appartement 4 pièces de 169 m2 à Marrakech,2 100 000 MAD,"Guéliz, Marrakech",Appartement,"3 bedrooms
2 bathrooms
169 m²"
Vente Villa 10 pièces de 330 m2 à Marrakech,3 000 000 MAD,"indéfini, Marrakech",Villa,"6 bedrooms
6 bathrooms
330 m²"
MAGNIFIQUE APPT EN VENTE ROMANDIE 2,3 950 000 MAD,"Racine extension, Casablanca",Appartement,"3 bedrooms
3 bathrooms
242 m²"
